날짜,스프레드
2020/5,1.29
2020/4,1.121
2020/3,0.7490000000000001
2020/2,0.5940000000000001
2020/1,0.5820000000000001
2019/12,0.558
2019/11,0.5099999999999998
2019/10,0.504
2019/9,0.5050000000000001
2019/8,0.5250000000000001
2019/7,0.5030000000000001
2019/6,0.508
2019/5,0.474
2019/4,0.47099999999999986
2019/3,0.4550000000000003
2019/2,0.44700000000000006
2019/1,0.45599999999999996
2018/12,0.47899999999999987
2018/11,0.4630000000000001
2018/10,0.44200000000000017
2018/9,0.44999999999999996
2018/8,0.637
2018/7,0.653
2018/6,0.6300000000000003
2018/5,0.6099999999999999
2018/4,0.6019999999999999
2018/3,0.56
2018/2,0.5379999999999998
2018/1,0.532
2017/12,0.5489999999999999
2017/11,0.5590000000000002
2017/10,0.548
2017/9,0.5480000000000003
2017/8,0.5399999999999998
2017/7,0.538
2017/6,0.5350000000000001
2017/5,0.5260000000000002
2017/4,0.5169999999999999
2017/3,0.4990000000000001
2017/2,0.46499999999999986
2017/1,0.4610000000000001
2016/12,0.47
2016/11,0.4119999999999999
2016/10,0.41999999999999993
2016/9,0.3919999999999999
2016/8,0.40700000000000003
2016/7,0.43199999999999994
2016/6,0.45499999999999985
2016/5,0.45499999999999985
2016/4,0.472
2016/3,0.4810000000000001
2016/2,0.476
2016/1,0.4630000000000003
2015/12,0.4239999999999997
2015/11,0.3659999999999999
2015/10,0.33499999999999996
2015/9,0.29499999999999993
2015/8,0.24499999999999988
2015/7,0.22399999999999998
2015/6,0.2390000000000001
2015/5,0.2400000000000002
2015/4,0.2489999999999999
2015/3,0.2630000000000001
2015/2,0.2759999999999998
2015/1,0.3169999999999997
2014/12,0.31700000000000017
2014/11,0.3280000000000003
2014/10,0.3560000000000003
2014/9,0.3810000000000002
2014/8,0.3860000000000001
2014/7,0.41200000000000037
2014/6,0.42200000000000015
2014/5,0.4259999999999997
2014/4,0.42799999999999994
2014/3,0.4289999999999998
2014/2,0.4259999999999997
2014/1,0.42700000000000005
2013/12,0.41900000000000004
2013/11,0.43000000000000016
2013/10,0.4159999999999999
2013/9,0.3900000000000001
2013/8,0.3900000000000001
2013/7,0.46999999999999975
2013/6,0.3700000000000001
2013/5,0.3700000000000001
2013/4,0.3600000000000003
2013/3,0.3500000000000001
2013/2,0.3599999999999999
2013/1,0.4500000000000002
2012/12,0.44999999999999973
2012/11,0.52
2012/10,0.52
2012/9,0.5
2012/8,0.5699999999999998
2012/7,0.5900000000000003
2012/6,0.5800000000000001
2012/5,0.6299999999999999
2012/4,0.75
2012/3,0.8000000000000003
2012/2,0.8199999999999998
2012/1,0.8700000000000001
2011/12,0.8800000000000003
2011/11,0.8500000000000001
2011/10,0.8199999999999998
2011/9,0.79
2011/8,0.7200000000000002
2011/7,0.7100000000000004
2011/6,0.7500000000000004
2011/5,0.7800000000000002
2011/4,0.7999999999999998
2011/3,0.7999999999999998
2011/2,0.7799999999999998
2011/1,0.8099999999999996
2010/12,0.9199999999999999
2010/11,0.7900000000000005
2010/10,0.8899999999999997
2010/9,0.9300000000000002
2010/8,0.9499999999999997
2010/7,0.9299999999999997
2010/6,0.9000000000000004
2010/5,0.7800000000000002
2010/4,0.9200000000000004
2010/3,1.0799999999999996
2010/2,1.13
2010/1,1.1100000000000003
2009/12,1.1099999999999994
2009/11,1.1099999999999994
2009/10,1.13
2009/9,1.1799999999999997
2009/8,1.3200000000000003
2009/7,1.37
2009/6,1.12
2009/5,1.33
2009/4,1.92
2009/3,2.4499999999999997
2009/2,3.2900000000000005
2009/1,3.9
2008/12,4.379999999999999
2008/11,3.5900000000000007
2008/10,2.8600000000000003
2008/9,1.6500000000000004
2008/8,1.3400000000000007
2008/7,1.0300000000000002
2008/6,0.9799999999999995
2008/5,0.9399999999999995
2008/4,0.9299999999999997
2008/3,0.9799999999999995
2008/2,1.21
2008/1,1.1999999999999993
2007/12,0.8400000000000007
2007/11,0.6200000000000001
2007/10,0.5600000000000005
2007/9,0.45999999999999996
2007/8,0.41999999999999993
2007/7,0.40000000000000036
2007/6,0.39999999999999947
2007/5,0.39000000000000057
2007/4,0.39999999999999947
2007/3,0.41000000000000014
2007/2,0.3700000000000001
2007/1,0.35000000000000053
2006/12,0.35999999999999943
2006/11,0.33000000000000007
2006/10,0.3099999999999996
2006/9,0.3299999999999992
2006/8,0.33000000000000007
2006/7,0.29000000000000004
2006/6,0.28000000000000025
2006/5,0.2699999999999996
2006/4,0.29000000000000004
2006/3,0.3700000000000001
2006/2,0.45999999999999996
2006/1,0.4800000000000004
2005/12,0.4300000000000006
2005/11,0.40000000000000036
2005/10,0.39000000000000057
2005/9,0.40000000000000036
2005/8,0.41999999999999993
2005/7,0.39999999999999947
2005/6,0.3899999999999997
2005/5,0.41000000000000014
2005/4,0.4200000000000004
2005/3,0.4400000000000004
2005/2,0.4399999999999995
2005/1,0.4600000000000004
2004/12,0.4500000000000002
2004/11,0.43999999999999995
2004/10,0.46999999999999975
2004/9,0.5099999999999998
2004/8,0.56
2004/7,0.5799999999999992
2004/6,0.6299999999999999
2004/5,0.6800000000000006
2004/4,0.75
2004/3,0.79
2004/2,0.7999999999999998
2004/1,0.79
2003/12,0.7400000000000002
2003/11,0.7600000000000007
2003/10,0.8999999999999995
2003/9,0.9900000000000002
2003/8,1.25
2003/7,1.2800000000000002
2003/6,1.21
2003/5,0.9900000000000002
2003/4,0.79
2003/3,0.6600000000000001
2003/2,0.5199999999999996
2003/1,0.5200000000000005
2002/12,0.5999999999999996
2002/11,0.6100000000000003
